audit_row,legacy_location_path_id,legacy_path,legacy_level,disposition,resolves_after_change,candidate_paths,candidate_ids,finding,next_action,legacy_agencies,current_agency_paths,current_agency_addresses,geographic_source,census_check,census_alias_target,census_same_name_paths,census_current_paths_match,census_geoid_counties,agencies_outside_assigned_shape,agency_point_containing_paths
20,ckytig9hpk9irbh8efxpd4vq,/tx/bosque-county/meridan/,place,alias-added,yes,/tx/bosque-county/meridian/,csbrtup20d5s4cc7d1y36n4l,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxb100icvrvgov1qt7m3: Meridian Police Department,cm76wpxb100icvrvgov1qt7m3: /tx/bosque-county/meridian/,"cm76wpxb100icvrvgov1qt7m3: Po Box 739, Meridian, TX, 76665-0739",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4847760: Bosque [48035],cm76wpxb100icvrvgov1qt7m3,"cm76wpxb100icvrvgov1qt7m3: /tx/, /tx/bosque-county/"
21,cqdt3daqtjtz5gvgb3g6c7e9,/tx/bowie-county/avery/,place,county-or-mailing-conflict,no,/tx/red-river-county/avery/,cod7595hamcs3y64uq8ro0fz,Avery is present in Red River County; the linked Bowie County constable resolves there. Verify the agency address and jurisdiction separately.,"Verify the original address and intended geographic entity before deciding whether to correct the hierarchy, agency assignment, or add a path alias.",cm76wpxb100j5vrvgj6vyl74o: Bowie Co. Const. Pct. 3,cm76wpxb100j5vrvgj6vyl74o: /tx/red-river-county/avery/,"cm76wpxb100j5vrvgj6vyl74o: 1351 FM 1326, Avery, TX, 75554",,Checked against saved 2025 Gazetteer and TIGER inputs,,/tx/red-river-county/avery/,yes,4805072: Red River [48387],cm76wpxb100j5vrvgj6vyl74o,"cm76wpxb100j5vrvgj6vyl74o: /tx/, /tx/bowie-county/"
22,cy44pbm8ixl358n5a8kxgygn,/tx/bowie-county/dekalb/,place,alias-added,yes,/tx/bowie-county/de-kalb/,c2kqwx36t0dzw0gu5pntx3g1,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxb200kdvrvgaqqqf33l: De Kalb ISD Police Department,cm76wpxb200kdvrvgaqqqf33l: /tx/bowie-county/de-kalb/,"cm76wpxb200kdvrvgaqqqf33l: 152 SW Maple Street, Dekalb, TX, 75559",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4819648: Bowie [48037],,"cm76wpxb200kdvrvgaqqqf33l: /tx/, /tx/bowie-county/, /tx/bowie-county/de-kalb/"
23,c7xzao9sb9hx98xx4pllggiw,/tx/bowie-county/simms/,place,missing-place,no,,,No Simms canonical place. Both linked agencies currently resolve to New Boston; their assignments do not establish that Simms means New Boston.,"Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",cm76wpxb100j8vrvgazb144st: Bowie Co. Const. Pct. 4 | cm76wpxb200kjvrvg8mkbssin: Simms ISD Police Department,cm76wpxb100j8vrvgazb144st: /tx/bowie-county/new-boston/ | cm76wpxb200kjvrvg8mkbssin: /tx/bowie-county/new-boston/,"cm76wpxb100j8vrvgazb144st: 4844 US Hwy 67, Simms, TX, 75574 | cm76wpxb200kjvrvg8mkbssin: 47 James Bowie Ln, Simms, TX, 75574-6180",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4850808: Bowie [48037],cm76wpxb100j8vrvgazb144st | cm76wpxb200kjvrvg8mkbssin,"cm76wpxb100j8vrvgazb144st: /tx/, /tx/bowie-county/ | cm76wpxb200kjvrvg8mkbssin: /tx/, /tx/bowie-county/"
24,ce1tp6eneuwawn4ri45ddv4u,/tx/caldwell-county/kyle/,place,county-or-mailing-conflict,no,/tx/hays-county/kyle/,c7bh5p15f1b19p8noyyqwln7,"The old agency is Uhland Police, currently assigned to Uhland in Hays County. Do not alias a Kyle mailing label to Uhland.","Verify the original address and intended geographic entity before deciding whether to correct the hierarchy, agency assignment, or add a path alias.",cm76wpxb300tevrvg75wj870p: Uhland Police Department,cm76wpxb300tevrvg75wj870p: /tx/hays-county/uhland/,"cm76wpxb300tevrvg75wj870p: 15 N Old Spanish TRL, Kyle, TX, 78640-9338",,Checked against saved 2025 Gazetteer and TIGER inputs,,/tx/hays-county/kyle/,yes,"4839952: Hays [48209] | 4874216: Hays [48209], Caldwell [48055]",,"cm76wpxb300tevrvg75wj870p: /tx/, /tx/caldwell-county/, /tx/hays-county/uhland/"
25,c4sg6y6qtu6n5qyvozq0x1lr,/tx/caldwell-county/maxwell/,place,missing-place,no,,,No Maxwell canonical place. The linked constable currently resolves to Kyle in Hays County; do not use that assignment as an alias target.,"Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",cm76wpxb300sxvrvgzznpvfy9: Caldwell Co. Const. Pct. 3,cm76wpxb300sxvrvgzznpvfy9: /tx/hays-county/kyle/,"cm76wpxb300sxvrvgzznpvfy9: P.O. Box 145, Maxwell, TX, 78656",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4839952: Hays [48209],cm76wpxb300sxvrvgzznpvfy9,"cm76wpxb300sxvrvgzznpvfy9: /tx/, /tx/caldwell-county/"
26,ci1rdr1m6ruc2ci3knyz12ln,/tx/castro-county/dimmit/,place,alias-added,yes,/tx/castro-county/dimmitt/,c8vw62rl2ajmin34mbeqalsw,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxb4010kvrvg3a3zvlko: Castro Co. Dist. ATTY.'s Office,cm76wpxb4010kvrvg3a3zvlko: /tx/castro-county/dimmitt/,"cm76wpxb4010kvrvg3a3zvlko: 100 E Bedford, Dimmit, TX, 79027-2689",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4820464: Castro [48069],,"cm76wpxb4010kvrvg3a3zvlko: /tx/, /tx/castro-county/, /tx/castro-county/dimmitt/"
27,cc0u8zsthdd3fm02fz243ca4,/tx/chambers-county/baytown/,place,alias-already-present,yes,/tx/harris-county/baytown/,c8qxtab254i7ceawf82hdf9x,Existing alias verified against raw Census place/county overlap: the same place spans multiple counties. The current canonical county and alias agree with the Census import policy.,Retain existing alias.,cm76wpxb5011bvrvgm052h04w: Chambers Co. Const. Pct. 6,cm76wpxb5011bvrvgm052h04w: /tx/harris-county/baytown/,"cm76wpxb5011bvrvgm052h04w: 7711 Highway 146, Baytown, TX, 77520",,Checked against saved 2025 Gazetteer and TIGER inputs,/tx/harris-county/baytown/,/tx/harris-county/baytown/,yes,"4806128: Harris [48201], Chambers [48071]",,"cm76wpxb5011bvrvgm052h04w: /tx/, /tx/chambers-county/, /tx/harris-county/baytown/"
28,ck3fjjvb7jws98dvwnrl7lus,/tx/cherokee-county/bullard/,place,alias-already-present,yes,/tx/smith-county/bullard/,ekc9h6b0no7xq2bqdb2pybsn,Existing alias verified against raw Census place/county overlap: the same place spans multiple counties. The current canonical county and alias agree with the Census import policy.,Retain existing alias.,cm76wpxb5012yvrvgohpcncsd: Bullard ISD Police Department | cm7a0bgom0318ewvgo92g2xo2: Bullard Police Department,cm76wpxb5012yvrvgohpcncsd: /tx/smith-county/bullard/ | cm7a0bgom0318ewvgo92g2xo2: /tx/smith-county/bullard/,"cm76wpxb5012yvrvgohpcncsd: 308 School House Rd., Bullard, TX, 75757 | cm7a0bgom0318ewvgo92g2xo2: Po Box 109, Bullard, TX, 75757-0109",,Checked against saved 2025 Gazetteer and TIGER inputs,/tx/smith-county/bullard/,/tx/smith-county/bullard/,yes,"4811212: Smith [48423], Cherokee [48073]",,"cm76wpxb5012yvrvgohpcncsd: /tx/, /tx/smith-county/, /tx/smith-county/bullard/ | cm7a0bgom0318ewvgo92g2xo2: /tx/, /tx/smith-county/, /tx/smith-county/bullard/"
29,c96ewax29iqptjjh4mzz0ze6,/tx/colorado-county/cat-spring/,place,missing-place-wrong-county,no,,,"Cat Spring is in Austin County, not the legacy Colorado County hierarchy. No Cat Spring canonical place exists. The linked constable currently points to New Ulm.","Verify the address, create Cat Spring under the correct hierarchy if needed, and separately decide how to retain the erroneous old path.",cm76wpxb6018evrvgddmvn6bd: Colorado Co. Const. Pct. 3,cm76wpxb6018evrvgddmvn6bd: /tx/austin-county/new-ulm/,"cm76wpxb6018evrvgddmvn6bd: 1053 Constable Ln, Cat Spring, TX, 78933",https://www.tshaonline.org/handbook/entries/cat-spring-tx,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4851384: Austin [48015],cm76wpxb6018evrvgddmvn6bd,"cm76wpxb6018evrvgddmvn6bd: /tx/, /tx/colorado-county/"
30,c0rnxbddje4c98k0gg50hbwd,/tx/cooke-county/gainsville/,place,alias-added,yes,/tx/cooke-county/gainesville/,cp3vz4a2f1gzzgi4fw4rh9jb,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxb601ajvrvg2rxgxvl2: Cooke Co. Const. Pct. 2,cm76wpxb601ajvrvg2rxgxvl2: /tx/cooke-county/gainesville/,"cm76wpxb601ajvrvg2rxgxvl2: 112 South Dixon Street Ste. 120, Gainsville, TX, 76240",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4827984: Cooke [48097],,"cm76wpxb601ajvrvg2rxgxvl2: /tx/, /tx/cooke-county/, /tx/cooke-county/gainesville/"
31,cca8mn5tsr2wruitzupdr6v8,/tx/coryell-county/jonesboro/,place,missing-place,no,,,No Jonesboro canonical place. Jonesboro ISD Police currently resolves to Cranfills Gap in Bosque County; geographic equivalence is unproven.,"Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",cm7a0bgo700cxewvgc3pk0j0a: Jonesboro ISD Police Department,cm7a0bgo700cxewvgc3pk0j0a: /tx/bosque-county/cranfills-gap/,"cm7a0bgo700cxewvgc3pk0j0a: 14909 E State Highway 36, Jonesboro, TX, 76538-1353",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4817540: Bosque [48035],cm7a0bgo700cxewvgc3pk0j0a,"cm7a0bgo700cxewvgc3pk0j0a: /tx/, /tx/hamilton-county/"
32,cofgjwrk5663wzks8p86k216,/tx/dallas-county/dfw-airport/,place,geographic-scope-conflict,no,/tx/tarrant-county/grapevine/,capqukhg9xvllhcyk5q3hxt1,DFW Airport is an airport/mailing designation. Its police agency currently resolves to Grapevine; that does not establish equivalence to the whole city.,Determine whether an airport-specific location is required; do not alias the airport label to an entire municipality.,cm76wpxb801jovrvgalvblpyg: Dallas-Dfw Airport DPS,cm76wpxb801jovrvgalvblpyg: /tx/tarrant-county/grapevine/,"cm76wpxb801jovrvgalvblpyg: Po Box 619428, DFW Airport, TX, 75261-9428",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,"4830644: Tarrant [48439], Dallas [48113], Denton [48121]",,"cm76wpxb801jovrvgalvblpyg: /tx/, /tx/tarrant-county/, /tx/tarrant-county/grapevine/"
33,c8g0pccva50gyzlqqzjuo3yp,/tx/denton-county/carrollton/,place,alias-already-present,yes,/tx/dallas-county/carrollton/,c8gkvriu9a0nywhg5rc9ggsu,Existing alias verified against raw Census place/county overlap: the same place spans multiple counties. The current canonical county and alias agree with the Census import policy.,Retain existing alias.,"cm76wpxb901n7vrvgyv1q36ft: Denton Co. Const. Pct. 6 | cm76wpxb901navrvgpn94ithu: North Texas Emergency Communications Center, Inc. (NTECC)",cm76wpxb901n7vrvgyv1q36ft: /tx/dallas-county/carrollton/ | cm76wpxb901navrvgpn94ithu: /tx/dallas-county/carrollton/,"cm76wpxb901n7vrvgyv1q36ft: 1029 W Rosemeade Pkwy, Carrollton, TX, 75007-6205 | cm76wpxb901navrvgpn94ithu: 1649 W Frankford Rd Ste 150, Carrollton, TX, 75007-4605",,Checked against saved 2025 Gazetteer and TIGER inputs,/tx/dallas-county/carrollton/,/tx/dallas-county/carrollton/,yes,"4813024: Dallas [48113], Denton [48121], Collin [48085]",,"cm76wpxb901n7vrvgyv1q36ft: /tx/, /tx/dallas-county/carrollton/, /tx/denton-county/ | cm76wpxb901navrvgpn94ithu: /tx/, /tx/dallas-county/carrollton/, /tx/denton-county/"
34,ciex325oqq68bqei3uef9z0l,/tx/denton-county/crossroads/,place,alias-added,yes,/tx/denton-county/cross-roads/,c5elpgh4rywkmzu6tow0bnoe,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxba01pfvrvgt96ub80p: Town of Cross Roads Police Department,cm76wpxba01pfvrvgt96ub80p: /tx/denton-county/cross-roads/,"cm76wpxba01pfvrvgt96ub80p: 1401 FM 424, Crossroads, TX, 76227-7284",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4817852: Denton [48121],,"cm76wpxba01pfvrvgt96ub80p: /tx/, /tx/denton-county/, /tx/denton-county/cross-roads/"
