audit_row,legacy_location_path_id,legacy_path,classification,finding,evidence_scope,same_place_alias_confirmed,next_action,source,existing_candidate_paths,saved_census_county_evidence
18,c8u2n1rizq3jcw0ljy4cricw,/tx/bexar-county/boerne/,Mailing city and municipality mixed,"The old Boerne/Bexar path mixes the Fair Oaks Ranch agency municipality with a Boerne mailing label. Census Boerne is in Kendall County; Fair Oaks Ranch is a separate city spanning Bexar, Kendall and Comal.",Confirmed within the evidence described,no,Use the agency address point to establish its municipality; do not equate the mailing city with a different municipality.,census-check-104.json; review-104.csv,/tx/kendall-county/boerne/,"4809160: Kendall [48259] | 4825168: Bexar [48029], Kendall [48259], Comal [48091]"
21,cqdt3daqtjtz5gvgb3g6c7e9,/tx/bowie-county/avery/,Incorrect hierarchy,"Avery is in Red River County, not Bowie.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/red-river-county/avery/,4805072: Red River [48387]
23,c7xzao9sb9hx98xx4pllggiw,/tx/bowie-county/simms/,Legitimate missing location,Texas A&M AgriLife lists Simms as a Bowie County community; New Boston is a different place.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://agrilifeextension.tamu.edu/counties/bowie-county/,,4850808: Bowie [48037]
24,ce1tp6eneuwawn4ri45ddv4u,/tx/caldwell-county/kyle/,Mailing city and municipality mixed,The old Kyle/Caldwell path comes from Uhland Police. Census Kyle is in Hays County; Uhland is a different city spanning Hays and Caldwell. A mailing city is not a municipality boundary.,Confirmed within the evidence described,no,Use the agency address point to establish its municipality; do not equate the mailing city with a different municipality.,census-check-104.json; review-104.csv,/tx/hays-county/kyle/,"4839952: Hays [48209] | 4874216: Hays [48209], Caldwell [48055]"
25,c4sg6y6qtu6n5qyvozq0x1lr,/tx/caldwell-county/maxwell/,Legitimate missing location,Maxwell is a Caldwell County community. Its absence does not justify assigning its identity to Kyle.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/maxwell-tx,,4839952: Hays [48209]
29,c96ewax29iqptjjh4mzz0ze6,/tx/colorado-county/cat-spring/,Incorrect hierarchy,"Cat Spring is in Austin County, not Colorado; it is also missing from the current canonical tree.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,https://www.tshaonline.org/handbook/entries/cat-spring-tx,,4851384: Austin [48015]
31,cca8mn5tsr2wruitzupdr6v8,/tx/coryell-county/jonesboro/,Legitimate missing location,Jonesboro lies on the Coryell-Hamilton county line. The Coryell path is geographically legitimate; Cranfills Gap is not a replacement.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/jonesboro-tx,,4817540: Bosque [48035]
32,cofgjwrk5663wzks8p86k216,/tx/dallas-county/dfw-airport/,Legitimate location with different scope,DFW Airport is a real airport spanning municipal and county boundaries. It is not equivalent to all of Grapevine.,Confirmed within the evidence described,no,Preserve its distinct geographic identity; do not alias the subset or facility to an entire city.,https://apps.dfwairport.com/board/doc.php?date=Aug+1%2C+2024&docid=147077,/tx/tarrant-county/grapevine/,"4830644: Tarrant [48439], Dallas [48113], Denton [48121]"
36,cq7b30jimjccjkya3zraf08c,/tx/fannin-county/ivanhoe/,Legitimate missing location,"Ivanhoe in Fannin County is a distinct community, absent from the saved PLACE inputs; Census Ivanhoe city in Tyler County is not equivalent.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/ivanhoe-tx,/tx/tyler-county/ivanhoe/,4837112: Tyler [48457]
40,cmic4f96cxsr3y0ab8zqqapo,/tx/guadalupe-county/la-vernia/,Mailing city and municipality mixed,The old La Vernia/Guadalupe path comes from New Berlin Marshal. Census La Vernia is in Wilson County; New Berlin is a distinct Guadalupe County municipality.,Confirmed within the evidence described,no,Use the agency address point to establish its municipality; do not equate the mailing city with a different municipality.,census-check-104.json; review-104.csv,/tx/wilson-county/la-vernia/,4841764: Wilson [48493] | 4850796: Guadalupe [48187]
43,cljcfc3ta2db5fmq8x7x20wu,/tx/hamilton-county/archer-city/,Incorrect hierarchy,"Archer City is in Archer County, not Hamilton.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/archer-county/archer-city/,4803696: Archer [48009]
44,cfqgw2h4xfaofuc6ktoskkds,/tx/hardin-county/batson/,Legitimate missing location,Batson is a separate Hardin County community; Hull in Liberty County is not equivalent.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/batson-tx,,4835324: Liberty [48291]
45,c35ec2qoiasemubuq49itx0q,/tx/hardin-county/saratoga/,Legitimate missing location,Saratoga is a separate Hardin County community; Hull in Liberty County is not equivalent.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/saratoga-tx,,4835324: Liberty [48291]
46,coul27fn1xw1fvn1g7c7la6s,/tx/harris-county/alief/,Legitimate location with different scope,Alief remains a named community; portions were annexed by Houston. An annexed community is not an alternate name for the whole annexing city.,Confirmed within the evidence described,no,Preserve its distinct geographic identity; do not alias the subset or facility to an entire city.,https://311.houstontx.gov/planning/Annexation/docs_pdfs/HoustonAnnexationHistory.pdf,/tx/harris-county/houston/,"4835000: Harris [48201], Fort Bend [48157], Montgomery [48339], Waller [48473]"
47,c9l7ykyzrt0b3g60yo0lbcpp,/tx/harris-county/cypress/,Legitimate missing location,Harris County documents Cypress as a named community. It is not a synonym for the whole city of Houston.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://historicalcommission.harriscountytx.gov/portals/historicalcommission/documents/Communities%20in%20Markers.pdf,,"4835000: Harris [48201], Fort Bend [48157], Montgomery [48339], Waller [48473]"
48,csqaiecep7o9ld1p8yhl0fp8,/tx/harris-county/huffman/,Legitimate missing location,Huffman is a separate eastern Harris County community; the whole city of Houston is not equivalent.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/huffman-tx,,"4835000: Harris [48201], Fort Bend [48157], Montgomery [48339], Waller [48473]"
51,c85adbz470xah2yg9aq4hwm0,/tx/harrison-county/elysian-fields/,Legitimate missing location,"Elysian Fields is a Harrison County community, not an alternate name for Waskom.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/elysian-fields-tx,,4876636: Harrison [48203]
52,ceiyvygvkxovcm14yhiahtn8,/tx/henderson-county/larue/,Legitimate missing location,Larue is a Henderson County community with its own history; it is not Poynor.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/larue-tx,,4859192: Henderson [48213]
55,c6cv7n6snp0ofa9tkpcf8a1g,/tx/hopkins-county/saltillo/,Legitimate missing location,Saltillo is in Hopkins County; Mount Vernon in Franklin County is a different community.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/saltillo-tx,,4849860: Franklin [48159]
56,cg8q2ja60vcyljwl5r8rtdws,/tx/hopkins-county/sulphur-bluff/,Legitimate missing location,Sulphur Bluff is a Hopkins County community; Tira is not its replacement.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/sulphur-bluff-tx,,4873124: Hopkins [48223]
57,cn3uivb9vpui4jslg74rfir8,/tx/hunt-county/merit/,Legitimate missing location,Merit is in Hunt County. The Bland school consolidation does not make Merit equivalent to Farmersville in Collin County.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/merit-tx,,4825488: Collin [48085]
58,c6blbrrjtlb6l9ghuf0plvyu,/tx/jasper-county/brookeland/,Original geographic scope unresolved,"Brookeland is a legitimate community but TSHA places the historical town in Sabine County, while this path and constable use Jasper County. The source includes a historical relocation; the modern community versus broader Brookeland postal area needs boundary evidence. No Census Brookeland target exists.",Community or entity exists; intended legacy extent unconfirmed,no,"Determine whether the old record represents the townsite, a Jasper County portion, or a postal area; then preserve that identity as a missing location.",https://www.tshaonline.org/handbook/entries/brookeland-tx,,4864460: Jasper [48241]
61,cs20rcf9h3xt6r1vazc6b5zh,/tx/lamar-county/pattonville/,Legitimate missing location,Pattonville is in southeastern Lamar County and is distinct from Deport.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/pattonville-tx,,"4820020: Lamar [48277], Red River [48387]"
63,crtge7xud2dvx6812d3kkla2,/tx/liberty-county/liberty-hill/,Incorrect hierarchy,"The relevant Liberty Hill city is in Williamson County, not Liberty County. Liberty is a different city.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/williamson-county/liberty-hill/,4842568: Liberty [48291] | 4842664: Williamson [48491]
64,cp255qef9jmzjofnvadus0dr,/tx/live-oak-county/sandia/,Incorrect hierarchy,"The Census Sandia CDP is in Jim Wells County, not Live Oak. A Sandia mailing address can cover a broader area; that does not establish a CDP alias in Live Oak.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/jim-wells-county/sandia/,4865168: Jim Wells [48249]
67,c37meosi2cxt2akvo2izqqhk,/tx/matagorda-county/el-maton/,Legitimate missing location,"El Maton, also written Elmaton, is in Matagorda County. This spelling variant has no existing canonical Elmaton target; Blessing is different.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/elmaton-tx,,4808668: Matagorda [48321]
68,ctt5kht9vk7kvzhn7hfrlk2v,/tx/mclennan-county/eddy/,Outdated or superseded geography,"Bruceville and Eddy incorporated together in 1974. Eddy names one predecessor community and remains in mailing addresses; Bruceville-Eddy is the combined city. A successor relationship is established, not whole-place equivalence.",Confirmed within the evidence described,no,Preserve historical identity. A successor redirect requires an explicit decision because the target is not established as the same geographic extent.,https://www.bruceville-eddy.us/wp-content/uploads/2024/06/20240613-BEEDC-Agenda-Packet.pdf,/tx/mclennan-county/bruceville-eddy/,"4810828: McLennan [48309], Falls [48145]"
70,cvdd6yendnfj9rysptq694mq,/tx/montgomery-county/new-caney/,Legitimate missing location,New Caney is a Montgomery County community with its own identity; Woodbranch is not equivalent.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/new-caney-tx,,4880044: Montgomery [48339]
72,cdzf17qhp3a2tkeixrbrdw8s,/tx/nacogdoches-county/douglass/,Legitimate missing location,"Douglass is a Nacogdoches County community, distinct from Cushing.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/douglass-tx,,4818224: Nacogdoches [48347]
73,ca6g6b78wb5y8kkmch0ldfed,/tx/nacogdoches-county/woden/,Legitimate missing location,Woden is a Nacogdoches County community; the city of Nacogdoches is not an equivalent.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/woden-tx,,4850256: Nacogdoches [48347]
76,cl1w33eaqrdzz7xwe3vtvjle,/tx/polk-county/moscow/,Legitimate missing location,"Moscow is a Polk County community, distinct from Seven Oaks.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/moscow-tx,,4866884: Polk [48373]
78,c4yalig4zvk20tegd7328jyp,/tx/red-river-county/kaufman/,Incorrect hierarchy,"Kaufman is in Kaufman County, not Red River.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/kaufman-county/kaufman/,4838488: Kaufman [48257]
80,c9r02vlxc9kh1jpkxiwj6ykq,/tx/runnels-county/mason/,Incorrect hierarchy,"Mason is in Mason County, not Runnels.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/mason-county/mason/,4846968: Mason [48319]
85,ckmyiftnrljc86qd73ounpf8,/tx/travis-county/buda/,Incorrect hierarchy,"The saved Census Buda city polygon is in Hays County, not Travis. A broader Buda mailing area is not the same city geometry.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/hays-county/buda/,4811080: Hays [48209]
86,cphk29lo3a68o784i1zmh814,/tx/travis-county/del-valle/,Legitimate missing location,Del Valle is a Travis County community. Its historic and mailing identity is not equivalent to the whole city of Austin.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/del-valle-tx,,"4805000: Travis [48453], Williamson [48491], Hays [48209], Bastrop [48021]"
87,c21a6lh1qrc2cr6l5hmkqqtj,/tx/trinity-county/apple-springs/,Legitimate missing location,"Apple Springs is a Trinity County community, not Hudson in Angelina County.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/apple-springs-tx,,4835228: Angelina [48005]
89,c8afg1ibx72too0y6uk2kzcx,/tx/uvalde-county/concan/,Legitimate missing location,"Concan is a Uvalde County community, not Leakey in Real County.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/concan-tx,,4842004: Real [48385]
92,cjaes17wi1p281txosr2xapd,/ct/hartford-county/,Outdated or superseded geography,"Hartford County is a legitimate historical geography, superseded as a Census county equivalent by the planning-region system. It must not be aliased wholesale to Capitol Planning Region.",Confirmed within the evidence described,no,Preserve historical identity. A successor redirect requires an explicit decision because the target is not established as the same geographic extent.,https://www.census.gov/programs-surveys/acs/technical-documentation/user-notes/2023-01.html,,
95,cq38px5nj6cy3xn4jwtz85tu,/dc/district-of-columbia-county/n-w-washington/,Legitimate location with different scope,"Northwest Washington is one of four DC quadrants, a subset of Washington rather than the whole city. The old parent county-suffix variant is already aliased; the remaining child identity is the issue.",Confirmed within the evidence described,no,Preserve its distinct geographic identity; do not alias the subset or facility to an entire city.,https://octo.dc.gov/page/dc-gis-glossary,/dc/district-of-columbia/washington/,1150000: District of Columbia [11001]
96,ctxgyfcf2jzg4n7muu1y6k4r,/hi/honolulu-county/honolulu/,Outdated or superseded geography,"Honolulu CDP was split for the 2010 Census into Urban Honolulu, East Honolulu and a portion of Hickam. Honolulu can also mean the city/county. The bare legacy name does not identify one equivalent successor.",Confirmed within the evidence described,no,Preserve historical identity. A successor redirect requires an explicit decision because the target is not established as the same geographic extent.,https://files.hawaii.gov/dbedt/economic/databook/db2012/db2012.pdf,/hi/honolulu-county/urban-honolulu/ | /hi/honolulu-county/east-honolulu/,1506290: Honolulu [15003] | 1571550: Honolulu [15003] | 4800100: Hill [48217]
98,cq8wbupzq1klazsw3quqxk2p,/in/marion-county/indianapolis/,Original geographic scope unresolved,"Census distinguishes consolidated Indianapolis from Indianapolis city (balance), excluding other incorporated places from the balance. The old bare name and absent linked agency do not establish which extent the record meant.",Community or entity exists; intended legacy extent unconfirmed,no,Recover the old location source or geometry to determine consolidated city versus balance before aliasing.,https://www2.census.gov/geo/pdfs/maps-data/data/tiger/tgrshp2023/TGRSHP2023_TechDoc_Ch4.pdf,/in/marion-county/indianapolis-city-balance/,1836003: Marion [18097]
99,cshsm5n24vbi0uel6wfa8k5q,/tn/davidson-county/nashville/,Original geographic scope unresolved,"Census distinguishes consolidated Nashville-Davidson from its balance, excluding separately incorporated places. The old bare Nashville name and placeholder state-agency address do not establish the intended extent.",Community or entity exists; intended legacy extent unconfirmed,no,Recover the old location source or geometry to determine consolidated government versus balance before aliasing.,https://www2.census.gov/geo/pdfs/maps-data/data/tiger/tgrshp2023/TGRSHP2023_TechDoc_Ch4.pdf,/tn/davidson-county/nashville-davidson-metropolitan-government-balance/,4752006: Davidson [47037] | 4800100: Hill [48217]
100,cqkcch069qcbfwm5knncnhlf,/tx/mclennan-county/axtell/,Legitimate missing location,"Axtell is a McLennan County community, distinct from Hallsburg.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/axtell-tx,,4831880: McLennan [48309]
101,clpof2we64bc9vhtsl5m04g0,/tx/travis-county/abbott/,Incorrect hierarchy,"Abbott city is in Hill County, not Travis. The generic Foreign Service record has a placeholder address and cannot establish an alternative geography.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/hill-county/abbott/,4800100: Hill [48217]
102,cj6pzdiuubwalniesh19pbs0,/tx/upton-county/midkiff/,Legitimate missing location,"The Texas Historical Commission identifies Midkiff in Upton County, including its post-office marker. It is distinct from Rankin.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://atlas.thc.texas.gov/Details/5507013883,,4860668: Upton [48461]
103,c0dcfairfaxcounty000001,/dc/fairfax-county/,Incorrect hierarchy,"Fairfax County is in Virginia, not the District of Columbia.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/va/fairfax-county/,
104,c0dcfairfaxwashington001,/dc/fairfax-county/washington/,Incorrect hierarchy,Washington city is in the District of Columbia and is not a child of Fairfax County. The intended target of this malformed path is not established.,Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/dc/district-of-columbia/washington/,1150000: District of Columbia [11001]
